,lat,lon,analysed_spim,plume
1030,49.19,1.2,,False
1031,49.19,1.215,,False
1032,49.19,1.23,,False
1033,49.19,1.245,,False
1034,49.19,1.26,,False
1035,49.19,1.275,,False
1036,49.19,1.29,,False
1037,49.19,1.305,,False
1038,49.19,1.32,,False
1039,49.19,1.335,,False
1040,49.19,1.35,,False
1041,49.19,1.365,,False
1042,49.19,1.38,,False
1043,49.19,1.395,,False
1044,49.19,1.41,,False
1045,49.19,1.425,,False
1046,49.19,1.44,,False
1047,49.19,1.455,,False
1048,49.19,1.47,,False
1049,49.19,1.485,,False
1050,49.19,1.5,,False
1051,49.19,1.515,,False
1052,49.19,1.53,,False
1053,49.19,1.545,,False
1054,49.19,1.56,,False
1055,49.19,1.575,,False
1056,49.19,1.59,,False
1057,49.19,1.605,,False
1058,49.19,1.62,,False
1059,49.19,1.635,,False
1060,49.19,1.65,,False
1061,49.19,1.665,,False
1062,49.19,1.68,,False
1063,49.19,1.695,,False
1064,49.19,1.71,,False
1065,49.19,1.725,,False
1066,49.19,1.74,,False
1067,49.19,1.755,,False
1068,49.19,1.77,,False
1069,49.19,1.785,,False
1070,49.19,1.8,,False
1071,49.19,1.815,,False
1072,49.19,1.83,,False
1073,49.19,1.845,,False
1074,49.19,1.86,,False
1075,49.19,1.875,,False
1076,49.19,1.89,,False
1077,49.19,1.905,,False
1078,49.19,1.92,,False
1079,49.19,1.935,,False
1080,49.19,1.95,,False
1081,49.19,1.965,,False
1082,49.19,1.98,,False
1083,49.19,1.995,,False
1131,49.2,-1.5,,False
1132,49.2,-1.485,,False
1133,49.2,-1.47,,False
1134,49.2,-1.455,,False
1135,49.2,-1.44,,False
1136,49.2,-1.425,,False
1137,49.2,-1.41,,False
1138,49.2,-1.395,,False
1139,49.2,-1.38,,False
1140,49.2,-1.365,,False
1141,49.2,-1.35,,False
1142,49.2,-1.335,,False
1143,49.2,-1.32,,False
1144,49.2,-1.305,,False
1145,49.2,-1.29,,False
1146,49.2,-1.275,,False
1147,49.2,-1.26,,False
1148,49.2,-1.245,,False
1149,49.2,-1.23,,False
1150,49.2,-1.215,,False
1151,49.2,-1.2,,False
1152,49.2,-1.185,,False
1153,49.2,-1.17,,False
1154,49.2,-1.155,,False
1155,49.2,-1.14,,False
1156,49.2,-1.125,,False
1157,49.2,-1.11,,False
1158,49.2,-1.095,,False
1159,49.2,-1.08,,False
1160,49.2,-1.065,,False
1161,49.2,-1.05,,False
1162,49.2,-1.035,,False
1163,49.2,-1.02,,False
1164,49.2,-1.005,,False
1165,49.2,-0.99,,False
1166,49.2,-0.975,,False
1167,49.2,-0.96,,False
1168,49.2,-0.945,,False
1169,49.2,-0.93,,False
1170,49.2,-0.915,,False
1171,49.2,-0.9,,False
1172,49.2,-0.885,,False
1173,49.2,-0.87,,False
1174,49.2,-0.855,,False
1175,49.2,-0.84,,False
1176,49.2,-0.825,,False
1177,49.2,-0.81,,False
1178,49.2,-0.795,,False
1179,49.2,-0.78,,False
1180,49.2,-0.765,,False
1181,49.2,-0.75,,False
1182,49.2,-0.735,,False
1183,49.2,-0.72,,False
1184,49.2,-0.705,,False
1185,49.2,-0.69,,False
1186,49.2,-0.675,,False
1187,49.2,-0.66,,False
1188,49.2,-0.645,,False
1189,49.2,-0.63,,False
1190,49.2,-0.615,,False
1191,49.2,-0.6,,False
1192,49.2,-0.585,,False
1193,49.2,-0.57,,False
1194,49.2,-0.555,,False
1195,49.2,-0.54,,False
1196,49.2,-0.525,,False
1197,49.2,-0.51,,False
1198,49.2,-0.495,,False
1199,49.2,-0.48,,False
1200,49.2,-0.465,,False
1201,49.2,-0.45,,False
1202,49.2,-0.435,,False
1203,49.2,-0.42,,False
1204,49.2,-0.405,,False
1205,49.2,-0.39,,False
1206,49.2,-0.375,,False
1207,49.2,-0.36,,False
1208,49.2,-0.345,,False
1209,49.2,-0.33,,False
1210,49.2,-0.315,,False
1211,49.2,-0.3,,False
1212,49.2,-0.285,,False
1213,49.2,-0.27,,False
