source,site,lon,lat,zone
REPHY,Estuaire face porte neuve - 29BE28,-3.682618056,47.8223043216,SOUTHERN_BRITTANY
REPHY,Pont St Maurice - 29LA03,-3.5229145148,47.7975306059,SOUTHERN_BRITTANY
REPHY,Cost er Lann - 29LA05,-3.5293783528,47.8123558955,SOUTHERN_BRITTANY
REPHY,Queblen - 29LA11,-3.5423164081,47.8564351655,SOUTHERN_BRITTANY
REPHY,Amont port Kerdruc Rosbras - 29AV02,-3.7449174588,47.8201501942,SOUTHERN_BRITTANY
REPHY,Lorient 16,-3.428251,47.666741,SOUTHERN_BRITTANY
REPHY,Citadelle - 56B600,-3.3671627909,47.7119153379,SOUTHERN_BRITTANY
REPHY,Aval Le Scav - 56B510,-3.3878872358,47.8042290379,SOUTHERN_BRITTANY
REPHY,Saint Christophe - 56B530,-3.3633123302,47.7610332614,SOUTHERN_BRITTANY
REPHY,Pont du Bonhomme - 56B480,-3.3041429866,47.7636190247,SOUTHERN_BRITTANY
REPHY,Rade de Lorient - 56B560,-3.3520948008,47.7356927687,SOUTHERN_BRITTANY
REPHY,Ban-Gavres,-3.35,47.701,SOUTHERN_BRITTANY
REPHY,Etel - Pierres noires,-3.241081,47.588262,SOUTHERN_BRITTANY
REPHY,Aval Pont Lorois - 56ET16,-3.1986870799,47.6741747297,SOUTHERN_BRITTANY
REPHY,Taillefer,-3.133189,47.403454,SOUTHERN_BRITTANY
REPHY,Le Moustoir,-2.955517,47.60175,SOUTHERN_BRITTANY
